# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  116       4.422595593076e-10       1.350936819763e-13      -4.666641174385e-12       0.000000000000e+00       6.470330285531e-12       1.213386467891e-12      -5.998167184010e-15 
  117       4.469198215733e-10       1.364437935157e-13      -4.747003200694e-12       0.000000000000e+00       6.320859619909e-12       1.190243691814e-12      -5.915615411285e-15 
  118       4.515931961497e-10       1.377397488142e-13      -4.826051403649e-12       0.000000000000e+00       6.175569896529e-12       1.167749885114e-12      -5.837859634184e-15 
  119       4.562789511401e-10       1.389801952242e-13      -4.903709451971e-12       0.000000000000e+00       6.034449774231e-12       1.145901127250e-12      -5.764627515733e-15 
  120       4.609762656658e-10       1.401638218334e-13      -4.979901008528e-12       0.000000000000e+00       5.897463622470e-12       1.124689454007e-12      -5.695607514364e-15 
  121       4.656842271338e-10       1.412893610571e-13      -5.054549765785e-12       0.000000000000e+00       5.764550798951e-12       1.104102738062e-12      -5.630447884306e-15 
  122       4.704018285061e-10       1.423555902300e-13      -5.127579481260e-12       0.000000000000e+00       5.635624927254e-12       1.084124569552e-12      -5.568755675981e-15 
  123       4.751279655670e-10       1.433613331988e-13      -5.198914012975e-12       0.000000000000e+00       5.510573174463e-12       1.064734136634e-12      -5.510095736395e-15 
  124       4.798614341927e-10       1.443054619137e-13      -5.268477354911e-12       0.000000000000e+00       5.389255528798e-12       1.045906106059e-12      -5.453989709534e-15 
  125       4.846009276187e-10       1.451868980214e-13      -5.336193672460e-12       0.000000000000e+00       5.271504077242e-12       1.027610503730e-12      -5.399915036756e-15 
  126       4.893450337088e-10       1.460046144566e-13      -5.401987337878e-12       0.000000000000e+00       5.157122283172e-12       1.009812595275e-12      -5.347303957183e-15 
  127       4.940922322233e-10       1.467576370343e-13      -5.465782965740e-12       0.000000000000e+00       5.045884263986e-12       9.924727666067e-13      -5.295542508099e-15 
  128       4.988408920873e-10       1.474450460420e-13      -5.527505448389e-12       0.000000000000e+00       4.937534068734e-12       9.755464044949e-13      -5.243969525339e-15 
  129       5.035894311462e-10       1.480660176348e-13      -5.587080840700e-12       0.000000000000e+00       4.831840697154e-12       9.589931936235e-13      -5.191995785285e-15 
  130       5.083368210475e-10       1.486199497711e-13      -5.644439048787e-12       0.000000000000e+00       4.728771515188e-12       9.428064145873e-13      -5.139478331343e-15 
