# Matter power spectrum P(k) at redshift z=0
# for k=1.05911e-05 to 1.12045 h/Mpc,
# number of wavenumbers equal to 606
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.348025352025e-02       1.298261232346e+04 
       4.372673965235e-02       1.291353459365e+04 
       4.397767905248e-02       1.284424431747e+04 
       4.423331690013e-02       1.277484136529e+04 
       4.449391773108e-02       1.270531774252e+04 
       4.475976747562e-02       1.263537004708e+04 
       4.503117576625e-02       1.256531080357e+04 
       4.530847855795e-02       1.249516136609e+04 
       4.559204111187e-02       1.242442282455e+04 
       4.588226140327e-02       1.235356502581e+04 
       4.617957402631e-02       1.228235247138e+04 
       4.648445468295e-02       1.221082682646e+04 
       4.679742536083e-02       1.213893577980e+04 
       4.711906032741e-02       1.206618720366e+04 
       4.744999309462e-02       1.199381331249e+04 
       4.779092454239e-02       1.192055129650e+04 
       4.814263243195e-02       1.184652171248e+04 
       4.850598259290e-02       1.177216595009e+04 
       4.888194213500e-02       1.169673522960e+04 
       4.927159512068e-02       1.162090614381e+04 
       4.967616124141e-02       1.154394198511e+04 
       5.009701817770e-02       1.146661709261e+04 
       5.053572849697e-02       1.138843688186e+04 
       5.099407216483e-02       1.130881966887e+04 
       5.147408602842e-02       1.122813143717e+04 
       5.197811198862e-02       1.114594180239e+04 
       5.250885602887e-02       1.106217546220e+04 
       5.306946082689e-02       1.097677413946e+04 
       5.366359534985e-02       1.088921430343e+04 
       5.429556560756e-02       1.079932074392e+04 
       5.497045154523e-02       1.070738967407e+04 
       5.569427571553e-02       1.061193302131e+04 
       5.647420946442e-02       1.051230631360e+04 
       5.731882102592e-02       1.040886032368e+04 
       5.823836541431e-02       1.029949205299e+04 
       5.924510505894e-02       1.018359842682e+04 
       6.035362698130e-02       1.005938918793e+04 
       6.158107785060e-02       9.924124878849e+03 
       6.294716101644e-02       9.774985144674e+03 
       6.447362385342e-02       9.607763585152e+03 
       6.618283516566e-02       9.417304696165e+03 
       6.809502145841e-02       9.197507302220e+03 
       7.022404217797e-02       8.941736612945e+03 
       7.257250259264e-02       8.644091255401e+03 
       7.512830523001e-02       8.301810105986e+03 
       7.786516319670e-02       7.917809729819e+03 
       8.074776155055e-02       7.500791199844e+03 
       8.373915851431e-02       7.065033441114e+03 
       8.680682489688e-02       6.627509902939e+03 
       8.992545281796e-02       6.205169359252e+03 
       9.307699297925e-02       5.812177600097e+03 
       9.624930878890e-02       5.458960304559e+03 
       9.943454770943e-02       5.151736925474e+03 
       1.026277521519e-01       4.891935325746e+03 
       1.058258398159e-01       4.677462915772e+03 
       1.090269123220e-01       4.502993086590e+03 
       1.122298071271e-01       4.361669713862e+03 
       1.154338147056e-01       4.244353483358e+03 
       1.186385028331e-01       4.142408408597e+03 
       1.218436084435e-01       4.047171538012e+03 
       1.250489714497e-01       3.951008647509e+03 
       1.282544943841e-01       3.847874795659e+03 
       1.314601178350e-01       3.734267651551e+03 
       1.346658055153e-01       3.608811764294e+03 
       1.378715351918e-01       3.472193009257e+03 
       1.410772931778e-01       3.327066618516e+03 
       1.442830709879e-01       3.177558381124e+03 
       1.474888633077e-01       3.027973060814e+03 
       1.506946667600e-01       2.882680193958e+03 
       1.539004791548e-01       2.746357366752e+03 
       1.571062990337e-01       2.621323882035e+03 
       1.603121253919e-01       2.510154765086e+03 
       1.635179575090e-01       2.413510699498e+03 
       1.667237948455e-01       2.331147840289e+03 
       1.699296369788e-01       2.261845368790e+03 
       1.731354835644e-01       2.203703253690e+03 
       1.763413343114e-01       2.154212988903e+03 
       1.795471889667e-01       2.110724822563e+03 
       1.827530473060e-01       2.070454479580e+03 
       1.859589091268e-01       2.031378737956e+03 
       1.891647742442e-01       1.990824487007e+03 
       1.923706424882e-01       1.947266873190e+03 
       1.955765137015e-01       1.899716507692e+03 
       1.987823877379e-01       1.848087917674e+03 
       2.019882644611e-01       1.792911849826e+03 
       2.051941437436e-01       1.735273493629e+03 
       2.084000254661e-01       1.676519371454e+03 
       2.116059095167e-01       1.618202264348e+03 
       2.148117957902e-01       1.561584975824e+03 
       2.180176841878e-01       1.507896150874e+03 
       2.212235746164e-01       1.458033517139e+03 
       2.244294669884e-01       1.412523692026e+03 
       2.276353612211e-01       1.371633791633e+03 
       2.308412572364e-01       1.335356581042e+03 
       2.340471549605e-01       1.303350475039e+03 
       2.372530543238e-01       1.275069501871e+03 
       2.404589552601e-01       1.249756088137e+03 
       2.436648577071e-01       1.226608738643e+03 
       2.468707616054e-01       1.204709177118e+03 
       2.500766668990e-01       1.183124928993e+03 
       2.532825735344e-01       1.161377764609e+03 
       2.564884814612e-01       1.138864374680e+03 
       2.596943906310e-01       1.115393525753e+03 
       2.629003009983e-01       1.090882316679e+03 
       2.661062125194e-01       1.065368557395e+03 
       2.693121251530e-01       1.039223209637e+03 
       2.725180388594e-01       1.012732617613e+03 
       2.757239536012e-01       9.862419752422e+02 
       2.789298693423e-01       9.602574110525e+02 
       2.821357860486e-01       9.352741468511e+02 
       2.853417036872e-01       9.115336521123e+02 
       2.885476222270e-01       8.893780635945e+02 
       2.917535416381e-01       8.689008611685e+02 
       2.949594618920e-01       8.500088538074e+02 
       2.981653829612e-01       8.326608120370e+02 
       3.013713048196e-01       8.166689863391e+02 
       3.045772274423e-01       8.017714238491e+02 
       3.077831508051e-01       7.877119570414e+02 
       3.109890748851e-01       7.741984035069e+02 
       3.141949996602e-01       7.611558781196e+02 
       3.174009251093e-01       7.481496400032e+02 
       3.206068512120e-01       7.351384366282e+02 
       3.238127779488e-01       7.219149811170e+02 
       3.270187053009e-01       7.085041574553e+02 
       3.302246332505e-01       6.948751721449e+02 
       3.334305617800e-01       6.811138728864e+02 
       3.366364908730e-01       6.673349669726e+02 
       3.398424205134e-01       6.536785001955e+02 
       3.430483506857e-01       6.402485009221e+02 
       3.462542813751e-01       6.271321881106e+02 
       3.494602125674e-01       6.145493422800e+02 
       3.526661442487e-01       6.024379039234e+02 
       3.558720764058e-01       5.908913190290e+02 
       3.590780090258e-01       5.799797236046e+02 
       3.622839420965e-01       5.696452596242e+02 
       3.654898756059e-01       5.598429080996e+02 
       3.686958095425e-01       5.505114172944e+02 
       3.719017438952e-01       5.416179591680e+02 
       3.751076786534e-01       5.329908678793e+02 
       3.783136138066e-01       5.245795853661e+02 
       3.815195493449e-01       5.162943409578e+02 
       3.847254852585e-01       5.081142917277e+02 
       3.879314215383e-01       4.999746575529e+02 
       3.911373581750e-01       4.918781356928e+02 
       3.943432951600e-01       4.838081495770e+02 
       3.975492324848e-01       4.757676620333e+02 
       4.007551701412e-01       4.678013550739e+02 
       4.039611081213e-01       4.599188132356e+02 
       4.071670464175e-01       4.521304051579e+02 
       4.103729850222e-01       4.444894729116e+02 
       4.135789239283e-01       4.370535292503e+02 
       4.167848631288e-01       4.298670891969e+02 
       4.199908026169e-01       4.228649251137e+02 
       4.231967423861e-01       4.161249628289e+02 
       4.264026824301e-01       4.095798590138e+02 
       4.296086227425e-01       4.032632339351e+02 
       4.328145633175e-01       3.971417573809e+02 
       4.360205041492e-01       3.912612598580e+02 
       4.392264452320e-01       3.855168664683e+02 
       4.424323865605e-01       3.799215482772e+02 
       4.456383281292e-01       3.744570221587e+02 
       4.488442699330e-01       3.690901415081e+02 
       4.520502119670e-01       3.638265236057e+02 
       4.552561542261e-01       3.586045023588e+02 
       4.584620967058e-01       3.534242594574e+02 
       4.616680394013e-01       3.483370577140e+02 
       4.648739823082e-01       3.432799152844e+02 
       4.680799254222e-01       3.383164075529e+02 
       4.712858687390e-01       3.334089421643e+02 
       4.744918122544e-01       3.285733951175e+02 
       4.776977559645e-01       3.238096583297e+02 
       4.809036998653e-01       3.191506241264e+02 
       4.841096439531e-01       3.146037342139e+02 
       4.873155882241e-01       3.101643966449e+02 
       4.905215326748e-01       3.058413846040e+02 
       4.937274773016e-01       3.016355757327e+02 
       4.969334221012e-01       2.975425700266e+02 
       5.001393670701e-01       2.935479051425e+02 
       5.033453122051e-01       2.896452418318e+02 
       5.065512575031e-01       2.858276329110e+02 
       5.097572029610e-01       2.820846262428e+02 
       5.129631485758e-01       2.784096251381e+02 
       5.161690943445e-01       2.747984044370e+02 
       5.193750402644e-01       2.712415375629e+02 
       5.225809863325e-01       2.677411752882e+02 
       5.257869325462e-01       2.642834329416e+02 
       5.289928789028e-01       2.608707367801e+02 
       5.321988253997e-01       2.575030862922e+02 
       5.354047720344e-01       2.541842817667e+02 
       5.386107188045e-01       2.509148230311e+02 
       5.418166657075e-01       2.477114532392e+02 
       5.450226127411e-01       2.445642921737e+02 
       5.482285599029e-01       2.414764912593e+02 
       5.514345071908e-01       2.384466682853e+02 
       5.546404546026e-01       2.354732351006e+02 
       5.578464021360e-01       2.325563844982e+02 
       5.610523497890e-01       2.296967405689e+02 
       5.642582975596e-01       2.268936786133e+02 
       5.674642454457e-01       2.241468609115e+02 
       5.706701934455e-01       2.214531982902e+02 
       5.738761415570e-01       2.188076300270e+02 
       5.770820897783e-01       2.162071025075e+02 
       5.802880381076e-01       2.136472229089e+02 
       5.834939865431e-01       2.111261926066e+02 
       5.866999350831e-01       2.086432416658e+02 
       5.899058837259e-01       2.061989431238e+02 
       5.931118324698e-01       2.037929646722e+02 
       5.963177813131e-01       2.014239413950e+02 
       5.995237302543e-01       1.990901454981e+02 
       6.027296792918e-01       1.967897749947e+02 
       6.059356284241e-01       1.945218050012e+02 
       6.091415776496e-01       1.922869105660e+02 
       6.123475269670e-01       1.900853885751e+02 
       6.155534763747e-01       1.879220575136e+02 
       6.187594258713e-01       1.857963359208e+02 
       6.219653754555e-01       1.837078147222e+02 
       6.251713251260e-01       1.816545566907e+02 
       6.283772748813e-01       1.796346603464e+02 
       6.315832247202e-01       1.776464851380e+02 
       6.347891746415e-01       1.756890894887e+02 
       6.379951246438e-01       1.737631935039e+02 
       6.412010747261e-01       1.718685757428e+02 
       6.444070248870e-01       1.700049192619e+02 
       6.476129751254e-01       1.681705661807e+02 
       6.508189254401e-01       1.663634189214e+02 
       6.540248758301e-01       1.645815619843e+02 
       6.572308262942e-01       1.628235102150e+02 
       6.604367768313e-01       1.610892150808e+02 
       6.636427274405e-01       1.593796242893e+02 
       6.668486781205e-01       1.576951306988e+02 
       6.700546288705e-01       1.560362060158e+02 
       6.732605796894e-01       1.544027977100e+02 
       6.764665305763e-01       1.527923805700e+02 
       6.796724815301e-01       1.512043308602e+02 
       6.828784325499e-01       1.496381507217e+02 
       6.860843836349e-01       1.480938114280e+02 
       6.892903347840e-01       1.465721570957e+02 
       6.924962859965e-01       1.450737996845e+02 
       6.957022372713e-01       1.435987291622e+02 
       6.989081886077e-01       1.421460509759e+02 
       7.021141400048e-01       1.407145621999e+02 
       7.053200914618e-01       1.393025947513e+02 
       7.085260429779e-01       1.379094335455e+02 
       7.117319945523e-01       1.365349739835e+02 
       7.149379461841e-01       1.351795427611e+02 
       7.181438978726e-01       1.338436277956e+02 
       7.213498496171e-01       1.325269880671e+02 
       7.245558014168e-01       1.312288682720e+02 
       7.277617532710e-01       1.299480029621e+02 
       7.309677051789e-01       1.286835018939e+02 
       7.341736571399e-01       1.274348752561e+02 
       7.373796091532e-01       1.262019669058e+02 
       7.405855612183e-01       1.249861014116e+02 
       7.437915133343e-01       1.237869105317e+02 
       7.469974655007e-01       1.226047840357e+02 
       7.502034177168e-01       1.214391226717e+02 
       7.534093699819e-01       1.202889044312e+02 
       7.566153222955e-01       1.191528352269e+02 
       7.598212746570e-01       1.180312855579e+02 
       7.630272270656e-01       1.169241341628e+02 
       8.368979693641e-01       9.499223304048e+01 
       9.456591326651e-01       7.195397916863e+01 
       1.120454875172e+00       4.866899379427e+01 
